time_created,Blog,Bookmark,Comment,Discussion,Discussion Reply,File,Idea,mission_accepted,mission_applied,mission_offered,user
2009-09-20,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-09-21,1.0,2.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0
2009-09-22,1.0,2.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,9.0
2009-09-23,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0
2009-09-24,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0
2009-09-25,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0
2009-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-09-28,0.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,12.0
2009-09-29,1.0,3.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,5.0
2009-09-30,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2009-10-01,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0
2009-10-02,2.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,17.0
2009-10-05,0.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0
2009-10-06,2.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0
2009-10-07,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0
2009-10-08,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0
2009-10-09,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-10-12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-10-13,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2009-10-14,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0
2009-10-15,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
2009-10-16,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0
2009-10-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2009-10-20,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2009-10-21,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0
2009-10-22,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
2009-10-23,0.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,19.0
2009-10-26,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0
2009-10-27,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2009-10-28,1.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0
